,AccountNumber,AddressLine1Individual,AddressLine1Store,AddressLine2Individual,AddressLine2Store,AddressTypeIndividual,AddressTypeStore,BillToAddressID,CarrierTrackingNumber,CityIndividual,CityStore,Class,Color,CountryRegionCode,CountryRegionNameIndividual,CountryRegionNameStore,CreditCardApprovalCode,CreditCardID,CurrencyRateID,CustomerID,DueDate,FinishedGoodsFlag,FirstName,Freight,LastName,LineTotal,ListPrice,MakeFlag,MiddleName,OnlineOrderFlag,OrderDate,OrderQty,PersonID,PostalCodeIndividual,PostalCodeStore,Product,ProductCategory,ProductCategoryID,ProductID,ProductLine,ProductModelID,ProductNumber,ProductSubCategory,ProductSubcategoryID,PurchaseOrderNumber,Region,RevisionNumber,SalesOrderDetailID,SalesOrderID,SalesOrderNumber,SalesPersonID,ShipDate,ShipMethodID,ShipToAddressID,Size,SpecialOfferID,StandardCost,StateProvinceNameIndividual,StateProvinceNameStore,Status,Store,StoreID,Style,SubTotal,TaxAmt,Territory,TerritoryID,TotalDue,UnitPrice,UnitPriceDiscount
223,10-4030-024306,NA,NA,NA,NA,NA,NA,25211,NA,NA,NA,NA,NA,AU,NA,NA,617922Vi68018,13131,NA,24306,7/10/2014,TRUE,NA,0.182,NA,4.99,4.99,FALSE,NA,Yes,6/28/2014,1,16130,NA,NA,Water Bottle - 30 oz.,Accessories,4,870,S,111,WB-H098,Bottles and Cages,28,NA,Pacific,8,121094,75031,SO75031,NA,7/5/2014,1,25211,NA,1,1.8663,NA,NA,5,NA,NA,NA,7.28,0.5824,Australia,9,8.0444,4.99,0
224,10-4030-024306,NA,NA,NA,NA,NA,NA,25211,NA,NA,NA,NA,NA,AU,NA,NA,617922Vi68018,13131,NA,24306,7/10/2014,TRUE,NA,0.182,NA,2.29,2.29,FALSE,NA,Yes,6/28/2014,1,16130,NA,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,Pacific,8,121095,75031,SO75031,NA,7/5/2014,1,25211,NA,1,0.8565,NA,NA,5,NA,NA,NA,7.28,0.5824,Australia,9,8.0444,2.29,0
225,10-4030-012038,NA,NA,NA,NA,NA,NA,29293,NA,NA,NA,L,NA,AU,NA,NA,NA,NA,NA,12038,7/10/2014,TRUE,NA,0.6248,NA,24.99,24.99,FALSE,NA,Yes,6/28/2014,1,20188,NA,NA,LL Mountain Tire,Accessories,4,928,M,85,TI-M267,Tires and Tubes,37,NA,Pacific,8,121093,75030,SO75030,NA,7/5/2014,1,29293,NA,1,9.3463,NA,NA,5,NA,NA,NA,24.99,1.9992,Australia,9,27.614,24.99,0
226,10-4030-012088,2613 West I St.,NA,NA,NA,Home,NA,20716,NA,Beaverton,NA,NA,NA,US,United States,NA,829889Vi46476,9007,NA,12088,7/9/2014,TRUE,Amy,2.799,Lu,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,11648,97005,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121090,75029,SO75029,NA,7/4/2014,1,20716,NA,1,1.8663,Oregon,NA,5,NA,NA,NA,111.96,8.9568,Northwest,1,123.7158,4.99,0
227,10-4030-012088,2613 West I St.,NA,NA,NA,Home,NA,20716,NA,Beaverton,NA,NA,NA,US,United States,NA,829889Vi46476,9007,NA,12088,7/9/2014,TRUE,Amy,2.799,Lu,21.98,21.98,FALSE,NA,Yes,6/27/2014,1,11648,97005,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121091,75029,SO75029,NA,7/4/2014,1,20716,NA,1,8.2205,Oregon,NA,5,NA,NA,NA,111.96,8.9568,Northwest,1,123.7158,21.98,0
228,10-4030-012088,2613 West I St.,NA,NA,NA,Home,NA,20716,NA,Beaverton,NA,NA,Multi,US,United States,NA,829889Vi46476,9007,NA,12088,7/9/2014,TRUE,Amy,2.799,Lu,49.99,49.99,FALSE,NA,Yes,6/27/2014,1,11648,97005,NA,"Long-Sleeve Logo Jersey, M",Clothing,3,714,S,11,LJ-0192-M,Jerseys,21,NA,North America,8,121092,75029,SO75029,NA,7/4/2014,1,20716,M,1,38.4923,Oregon,NA,5,NA,NA,U,111.96,8.9568,Northwest,1,123.7158,49.99,0
229,10-4030-012088,2613 West I St.,NA,NA,NA,Home,NA,20716,NA,Beaverton,NA,H,NA,US,United States,NA,829889Vi46476,9007,NA,12088,7/9/2014,TRUE,Amy,2.799,Lu,35,35,FALSE,NA,Yes,6/27/2014,1,11648,97005,NA,HL Mountain Tire,Accessories,4,930,M,87,TI-M823,Tires and Tubes,37,NA,North America,8,121089,75029,SO75029,NA,7/4/2014,1,20716,NA,1,13.09,Oregon,NA,5,NA,NA,NA,111.96,8.9568,Northwest,1,123.7158,35,0
230,10-4030-023934,2908 Piper Ridge Court,NA,NA,NA,Home,NA,12733,NA,Edmonds,NA,NA,NA,FR,United States,NA,328993Vi9635,1853,NA,23934,7/9/2014,TRUE,Kayla,0.9068,Alexander,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,3704,98020,NA,Touring Tire Tube,Accessories,4,923,T,94,TT-T092,Tires and Tubes,37,NA,Europe,8,121087,75028,SO75028,NA,7/4/2014,1,12733,NA,1,1.8663,Washington,NA,5,NA,NA,NA,36.27,2.9016,France,7,40.0784,4.99,0
231,10-4030-023934,2908 Piper Ridge Court,NA,NA,NA,Home,NA,12733,NA,Edmonds,NA,NA,NA,FR,United States,NA,328993Vi9635,1853,NA,23934,7/9/2014,TRUE,Kayla,0.9068,Alexander,2.29,2.29,FALSE,NA,Yes,6/27/2014,1,3704,98020,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,Europe,8,121088,75028,SO75028,NA,7/4/2014,1,12733,NA,1,0.8565,Washington,NA,5,NA,NA,NA,36.27,2.9016,France,7,40.0784,2.29,0
232,10-4030-023934,2908 Piper Ridge Court,NA,NA,NA,Home,NA,12733,NA,Edmonds,NA,NA,NA,FR,United States,NA,328993Vi9635,1853,NA,23934,7/9/2014,TRUE,Kayla,0.9068,Alexander,28.99,28.99,FALSE,NA,Yes,6/27/2014,1,3704,98020,NA,Touring Tire,Accessories,4,934,T,91,TI-T723,Tires and Tubes,37,NA,Europe,8,121086,75028,SO75028,NA,7/4/2014,1,12733,NA,1,10.8423,Washington,NA,5,NA,NA,NA,36.27,2.9016,France,7,40.0784,28.99,0
233,10-4030-024118,685 St. Peter Court,NA,NA,NA,Home,NA,13696,NA,San Diego,NA,NA,NA,FR,United States,NA,928792Vi79685,15428,NA,24118,7/9/2014,TRUE,Devin,0.182,Henderson,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,4661,92102,NA,Touring Tire Tube,Accessories,4,923,T,94,TT-T092,Tires and Tubes,37,NA,Europe,8,121084,75027,SO75027,NA,7/4/2014,1,13696,NA,1,1.8663,California,NA,5,NA,NA,NA,7.28,0.5824,France,7,8.0444,4.99,0
234,10-4030-024118,685 St. Peter Court,NA,NA,NA,Home,NA,13696,NA,San Diego,NA,NA,NA,FR,United States,NA,928792Vi79685,15428,NA,24118,7/9/2014,TRUE,Devin,0.182,Henderson,2.29,2.29,FALSE,NA,Yes,6/27/2014,1,4661,92102,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,Europe,8,121085,75027,SO75027,NA,7/4/2014,1,13696,NA,1,0.8565,California,NA,5,NA,NA,NA,7.28,0.5824,France,7,8.0444,2.29,0
235,10-4030-022394,"39, place de Fontenoy",NA,NA,NA,Home,NA,16222,NA,Paris,NA,NA,NA,FR,France,NA,828598Vi43836,8477,NA,22394,7/9/2014,TRUE,Tina,0.637,Rodriguez,3.99,3.99,FALSE,NA,Yes,6/27/2014,1,7187,75002,NA,Road Tire Tube,Accessories,4,922,R,93,TT-R982,Tires and Tubes,37,NA,Europe,8,121082,75026,SO75026,NA,7/4/2014,1,16222,NA,1,1.4923,Seine (Paris),NA,5,NA,NA,NA,25.48,2.0384,France,7,28.1554,3.99,0
236,10-4030-022394,"39, place de Fontenoy",NA,NA,NA,Home,NA,16222,NA,Paris,NA,L,NA,FR,France,NA,828598Vi43836,8477,NA,22394,7/9/2014,TRUE,Tina,0.637,Rodriguez,21.49,21.49,FALSE,NA,Yes,6/27/2014,1,7187,75002,NA,LL Road Tire,Accessories,4,931,R,88,TI-R092,Tires and Tubes,37,NA,Europe,8,121083,75026,SO75026,NA,7/4/2014,1,16222,NA,1,8.0373,Seine (Paris),NA,5,NA,NA,NA,25.48,2.0384,France,7,28.1554,21.49,0
237,10-4030-024131,NA,NA,NA,NA,NA,NA,23373,NA,NA,NA,NA,NA,FR,NA,NA,328410Vi17665,3350,NA,24131,7/9/2014,TRUE,NA,0.3495,NA,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,14303,NA,NA,Touring Tire Tube,Accessories,4,923,T,94,TT-T092,Tires and Tubes,37,NA,Europe,8,121081,75025,SO75025,NA,7/4/2014,1,23373,NA,1,1.8663,NA,NA,5,NA,NA,NA,13.98,1.1184,France,7,15.4479,4.99,0
238,10-4030-024131,NA,NA,NA,NA,NA,NA,23373,NA,NA,NA,NA,Multi,FR,NA,NA,328410Vi17665,3350,NA,24131,7/9/2014,TRUE,NA,0.3495,NA,8.99,8.99,FALSE,NA,Yes,6/27/2014,1,14303,NA,NA,AWC Logo Cap,Clothing,3,712,S,2,CA-1098,Caps,19,NA,Europe,8,121080,75025,SO75025,NA,7/4/2014,1,23373,NA,1,6.9223,NA,NA,5,NA,NA,U,13.98,1.1184,France,7,15.4479,8.99,0
239,10-4030-022820,NA,NA,NA,NA,NA,NA,25454,NA,NA,NA,NA,NA,FR,NA,NA,927872Vi27832,5324,NA,22820,7/9/2014,TRUE,NA,0.737,NA,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,16370,NA,NA,Water Bottle - 30 oz.,Accessories,4,870,S,111,WB-H098,Bottles and Cages,28,NA,Europe,8,121078,75024,SO75024,NA,7/4/2014,1,25454,NA,1,1.8663,NA,NA,5,NA,NA,NA,29.48,2.3584,France,7,32.5754,4.99,0
240,10-4030-022820,NA,NA,NA,NA,NA,NA,25454,NA,NA,NA,NA,Black,FR,NA,NA,927872Vi27832,5324,NA,22820,7/9/2014,TRUE,NA,0.737,NA,24.49,24.49,FALSE,NA,Yes,6/27/2014,1,16370,NA,NA,"Half-Finger Gloves, S",Clothing,3,858,S,4,GL-H102-S,Gloves,20,NA,Europe,8,121079,75024,SO75024,NA,7/4/2014,1,25454,S,1,9.1593,NA,NA,5,NA,NA,U,29.48,2.3584,France,7,32.5754,24.49,0
241,10-4030-020947,2129 Acacia Drive,NA,NA,NA,Home,NA,19154,NA,Royal Oak,NA,NA,NA,GB,Canada,NA,1027818Vi92528,17839,NA,20947,7/9/2014,TRUE,Megan,0.9318,Flores,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,10097,V8X,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,Europe,8,121075,75023,SO75023,NA,7/4/2014,1,19154,NA,1,1.8663,British Columbia,NA,5,NA,NA,NA,37.27,2.9816,United Kingdom,10,41.1834,4.99,0
242,10-4030-020947,2129 Acacia Drive,NA,NA,NA,Home,NA,19154,NA,Royal Oak,NA,NA,NA,GB,Canada,NA,1027818Vi92528,17839,NA,20947,7/9/2014,TRUE,Megan,0.9318,Flores,2.29,2.29,FALSE,NA,Yes,6/27/2014,1,10097,V8X,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,Europe,8,121077,75023,SO75023,NA,7/4/2014,1,19154,NA,1,0.8565,British Columbia,NA,5,NA,NA,NA,37.27,2.9816,United Kingdom,10,41.1834,2.29,0
243,10-4030-020947,2129 Acacia Drive,NA,NA,NA,Home,NA,19154,NA,Royal Oak,NA,M,NA,GB,Canada,NA,1027818Vi92528,17839,NA,20947,7/9/2014,TRUE,Megan,0.9318,Flores,29.99,29.99,FALSE,NA,Yes,6/27/2014,1,10097,V8X,NA,ML Mountain Tire,Accessories,4,929,M,86,TI-M602,Tires and Tubes,37,NA,Europe,8,121076,75023,SO75023,NA,7/4/2014,1,19154,NA,1,11.2163,British Columbia,NA,5,NA,NA,NA,37.27,2.9816,United Kingdom,10,41.1834,29.99,0
244,10-4030-012606,3886 Delta View Ln.,NA,NA,NA,Home,NA,19962,NA,Leeds,NA,NA,NA,FR,United Kingdom,NA,327388Vi41815,8068,NA,12606,7/9/2014,TRUE,Julie,6.1613,Raje,21.98,21.98,FALSE,NA,Yes,6/27/2014,1,10899,LE18,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,Europe,8,121071,75022,SO75022,NA,7/4/2014,1,19962,NA,1,8.2205,England,NA,5,NA,NA,NA,246.45,19.716,France,7,272.3273,21.98,0
245,10-4030-012606,3886 Delta View Ln.,NA,NA,NA,Home,NA,19962,NA,Leeds,NA,NA,Multi,FR,United Kingdom,NA,327388Vi41815,8068,NA,12606,7/9/2014,TRUE,Julie,6.1613,Raje,49.99,49.99,FALSE,NA,Yes,6/27/2014,1,10899,LE18,NA,"Long-Sleeve Logo Jersey, L",Clothing,3,715,S,11,LJ-0192-L,Jerseys,21,NA,Europe,8,121073,75022,SO75022,NA,7/4/2014,1,19962,L,1,38.4923,England,NA,5,NA,NA,U,246.45,19.716,France,7,272.3273,49.99,0
246,10-4030-012606,3886 Delta View Ln.,NA,NA,NA,Home,NA,19962,NA,Leeds,NA,NA,Black,FR,United Kingdom,NA,327388Vi41815,8068,NA,12606,7/9/2014,TRUE,Julie,6.1613,Raje,24.49,24.49,FALSE,NA,Yes,6/27/2014,1,10899,LE18,NA,"Half-Finger Gloves, M",Clothing,3,859,S,4,GL-H102-M,Gloves,20,NA,Europe,8,121074,75022,SO75022,NA,7/4/2014,1,19962,M,1,9.1593,England,NA,5,NA,NA,U,246.45,19.716,France,7,272.3273,24.49,0
247,10-4030-012606,3886 Delta View Ln.,NA,NA,NA,Home,NA,19962,NA,Leeds,NA,M,NA,FR,United Kingdom,NA,327388Vi41815,8068,NA,12606,7/9/2014,TRUE,Julie,6.1613,Raje,29.99,29.99,FALSE,NA,Yes,6/27/2014,1,10899,LE18,NA,ML Mountain Tire,Accessories,4,929,M,86,TI-M602,Tires and Tubes,37,NA,Europe,8,121070,75022,SO75022,NA,7/4/2014,1,19962,NA,1,11.2163,England,NA,5,NA,NA,NA,246.45,19.716,France,7,272.3273,29.99,0
248,10-4030-012606,3886 Delta View Ln.,NA,NA,NA,Home,NA,19962,NA,Leeds,NA,NA,NA,FR,United Kingdom,NA,327388Vi41815,8068,NA,12606,7/9/2014,TRUE,Julie,6.1613,Raje,120,120,FALSE,NA,Yes,6/27/2014,1,10899,LE18,NA,Hitch Rack - 4-Bike,Accessories,4,876,S,118,RA-H123,Bike Racks,26,NA,Europe,8,121072,75022,SO75022,NA,7/4/2014,1,19962,NA,1,44.88,England,NA,5,NA,NA,NA,246.45,19.716,France,7,272.3273,120,0
249,10-4030-024859,369 Peabody Road,NA,NA,NA,Home,NA,12845,NA,Beverly Hills,NA,NA,NA,GB,United States,NA,1227131Vi64142,12404,NA,24859,7/9/2014,TRUE,Rafael,0.9995,Xie,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,3814,90210,NA,Water Bottle - 30 oz.,Accessories,4,870,S,111,WB-H098,Bottles and Cages,28,NA,Europe,8,121068,75021,SO75021,NA,7/4/2014,1,12845,NA,1,1.8663,California,NA,5,NA,NA,NA,39.98,3.1984,United Kingdom,10,44.1779,4.99,0
250,10-4030-024859,369 Peabody Road,NA,NA,NA,Home,NA,12845,NA,Beverly Hills,NA,NA,Blue,GB,United States,NA,1227131Vi64142,12404,NA,24859,7/9/2014,TRUE,Rafael,0.9995,Xie,34.99,34.99,FALSE,NA,Yes,6/27/2014,1,3814,90210,NA,"Sport-100 Helmet, Blue",Accessories,4,711,S,33,HL-U509-B,Helmets,31,NA,Europe,8,121069,75021,SO75021,NA,7/4/2014,1,12845,NA,1,13.0863,California,NA,5,NA,NA,NA,39.98,3.1984,United Kingdom,10,44.1779,34.99,0
251,10-4030-020169,NA,NA,NA,NA,NA,NA,23573,NA,NA,NA,NA,NA,DE,NA,NA,1226910Vi70464,13594,NA,20169,7/9/2014,TRUE,NA,1.974,NA,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,14503,NA,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,Europe,8,121065,75020,SO75020,NA,7/4/2014,1,23573,NA,1,1.8663,NA,NA,5,NA,NA,NA,78.96,6.3168,Germany,8,87.2508,4.99,0
252,10-4030-020169,NA,NA,NA,NA,NA,NA,23573,NA,NA,NA,NA,Red,DE,NA,NA,1226910Vi70464,13594,NA,20169,7/9/2014,TRUE,NA,1.974,NA,34.99,34.99,FALSE,NA,Yes,6/27/2014,1,14503,NA,NA,"Sport-100 Helmet, Red",Accessories,4,707,S,33,HL-U509-R,Helmets,31,NA,Europe,8,121066,75020,SO75020,NA,7/4/2014,1,23573,NA,1,13.0863,NA,NA,5,NA,NA,NA,78.96,6.3168,Germany,8,87.2508,34.99,0
253,10-4030-020169,NA,NA,NA,NA,NA,NA,23573,NA,NA,NA,NA,Multi,DE,NA,NA,1226910Vi70464,13594,NA,20169,7/9/2014,TRUE,NA,1.974,NA,8.99,8.99,FALSE,NA,Yes,6/27/2014,1,14503,NA,NA,AWC Logo Cap,Clothing,3,712,S,2,CA-1098,Caps,19,NA,Europe,8,121067,75020,SO75020,NA,7/4/2014,1,23573,NA,1,6.9223,NA,NA,5,NA,NA,U,78.96,6.3168,Germany,8,87.2508,8.99,0
254,10-4030-020169,NA,NA,NA,NA,NA,NA,23573,NA,NA,NA,M,NA,DE,NA,NA,1226910Vi70464,13594,NA,20169,7/9/2014,TRUE,NA,1.974,NA,29.99,29.99,FALSE,NA,Yes,6/27/2014,1,14503,NA,NA,ML Mountain Tire,Accessories,4,929,M,86,TI-M602,Tires and Tubes,37,NA,Europe,8,121064,75020,SO75020,NA,7/4/2014,1,23573,NA,1,11.2163,NA,NA,5,NA,NA,NA,78.96,6.3168,Germany,8,87.2508,29.99,0
255,10-4030-014168,NA,NA,NA,NA,NA,NA,22236,NA,NA,NA,NA,NA,FR,NA,NA,426803Vi49129,9530,NA,14168,7/9/2014,TRUE,NA,1.7988,NA,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,13166,NA,NA,Water Bottle - 30 oz.,Accessories,4,870,S,111,WB-H098,Bottles and Cages,28,NA,Europe,8,121062,75019,SO75019,NA,7/4/2014,1,22236,NA,1,1.8663,NA,NA,5,NA,NA,NA,71.95,5.756,France,7,79.5048,4.99,0
256,10-4030-014168,NA,NA,NA,NA,NA,NA,22236,NA,NA,NA,NA,Red,FR,NA,NA,426803Vi49129,9530,NA,14168,7/9/2014,TRUE,NA,1.7988,NA,34.99,34.99,FALSE,NA,Yes,6/27/2014,1,13166,NA,NA,"Sport-100 Helmet, Red",Accessories,4,707,S,33,HL-U509-R,Helmets,31,NA,Europe,8,121063,75019,SO75019,NA,7/4/2014,1,22236,NA,1,13.0863,NA,NA,5,NA,NA,NA,71.95,5.756,France,7,79.5048,34.99,0
257,10-4030-014168,NA,NA,NA,NA,NA,NA,22236,NA,NA,NA,NA,NA,FR,NA,NA,426803Vi49129,9530,NA,14168,7/9/2014,TRUE,NA,1.7988,NA,21.98,21.98,FALSE,NA,Yes,6/27/2014,1,13166,NA,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,Europe,8,121060,75019,SO75019,NA,7/4/2014,1,22236,NA,1,8.2205,NA,NA,5,NA,NA,NA,71.95,5.756,France,7,79.5048,21.98,0
258,10-4030-014168,NA,NA,NA,NA,NA,NA,22236,NA,NA,NA,NA,NA,FR,NA,NA,426803Vi49129,9530,NA,14168,7/9/2014,TRUE,NA,1.7988,NA,9.99,9.99,FALSE,NA,Yes,6/27/2014,1,13166,NA,NA,Mountain Bottle Cage,Accessories,4,871,M,112,BC-M005,Bottles and Cages,28,NA,Europe,8,121061,75019,SO75019,NA,7/4/2014,1,22236,NA,1,3.7363,NA,NA,5,NA,NA,NA,71.95,5.756,France,7,79.5048,9.99,0
259,10-4030-018172,NA,NA,NA,NA,NA,NA,22486,NA,NA,NA,NA,NA,GB,NA,NA,1026547Vi2199,434,NA,18172,7/9/2014,TRUE,NA,0.9323,NA,2.29,2.29,FALSE,NA,Yes,6/27/2014,1,13416,NA,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,Europe,8,121059,75018,SO75018,NA,7/4/2014,1,22486,NA,1,0.8565,NA,NA,5,NA,NA,NA,37.29,2.9832,United Kingdom,10,41.2055,2.29,0
260,10-4030-018172,NA,NA,NA,NA,NA,NA,22486,NA,NA,NA,H,NA,GB,NA,NA,1026547Vi2199,434,NA,18172,7/9/2014,TRUE,NA,0.9323,NA,35,35,FALSE,NA,Yes,6/27/2014,1,13416,NA,NA,HL Mountain Tire,Accessories,4,930,M,87,TI-M823,Tires and Tubes,37,NA,Europe,8,121058,75018,SO75018,NA,7/4/2014,1,22486,NA,1,13.09,NA,NA,5,NA,NA,NA,37.29,2.9832,United Kingdom,10,41.2055,35,0
261,10-4030-020551,6720 Bryce Dr.,NA,NA,NA,Home,NA,15186,NA,Bury,NA,NA,NA,GB,United Kingdom,NA,326231Vi44900,8696,NA,20551,7/9/2014,TRUE,Xavier,1.6243,Bailey,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,6151,PE17,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,Europe,8,121055,75017,SO75017,NA,7/4/2014,1,15186,NA,1,1.8663,England,NA,5,NA,NA,NA,64.97,5.1976,United Kingdom,10,71.7919,4.99,0
262,10-4030-020551,6720 Bryce Dr.,NA,NA,NA,Home,NA,15186,NA,Bury,NA,NA,Black,GB,United Kingdom,NA,326231Vi44900,8696,NA,20551,7/9/2014,TRUE,Xavier,1.6243,Bailey,34.99,34.99,FALSE,NA,Yes,6/27/2014,1,6151,PE17,NA,"Sport-100 Helmet, Black",Accessories,4,708,S,33,HL-U509,Helmets,31,NA,Europe,8,121057,75017,SO75017,NA,7/4/2014,1,15186,NA,1,13.0863,England,NA,5,NA,NA,NA,64.97,5.1976,United Kingdom,10,71.7919,34.99,0
263,10-4030-020551,6720 Bryce Dr.,NA,NA,NA,Home,NA,15186,NA,Bury,NA,L,NA,GB,United Kingdom,NA,326231Vi44900,8696,NA,20551,7/9/2014,TRUE,Xavier,1.6243,Bailey,24.99,24.99,FALSE,NA,Yes,6/27/2014,1,6151,PE17,NA,LL Mountain Tire,Accessories,4,928,M,85,TI-M267,Tires and Tubes,37,NA,Europe,8,121056,75017,SO75017,NA,7/4/2014,1,15186,NA,1,9.3463,England,NA,5,NA,NA,NA,64.97,5.1976,United Kingdom,10,71.7919,24.99,0
264,10-4030-017686,1911 Pinecrest Dr.,NA,NA,NA,Home,NA,14243,NA,Issaquah,NA,NA,NA,CA,United States,NA,826212Vi46756,9057,NA,17686,7/9/2014,TRUE,Nathaniel,1.7988,Sanders,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,5208,98027,NA,Water Bottle - 30 oz.,Accessories,4,870,S,111,WB-H098,Bottles and Cages,28,NA,North America,8,121053,75016,SO75016,NA,7/4/2014,1,14243,NA,1,1.8663,Washington,NA,5,NA,NA,NA,71.95,5.756,Canada,6,79.5048,4.99,0
265,10-4030-017686,1911 Pinecrest Dr.,NA,NA,NA,Home,NA,14243,NA,Issaquah,NA,NA,Red,CA,United States,NA,826212Vi46756,9057,NA,17686,7/9/2014,TRUE,Nathaniel,1.7988,Sanders,34.99,34.99,FALSE,NA,Yes,6/27/2014,1,5208,98027,NA,"Sport-100 Helmet, Red",Accessories,4,707,S,33,HL-U509-R,Helmets,31,NA,North America,8,121054,75016,SO75016,NA,7/4/2014,1,14243,NA,1,13.0863,Washington,NA,5,NA,NA,NA,71.95,5.756,Canada,6,79.5048,34.99,0
266,10-4030-017686,1911 Pinecrest Dr.,NA,NA,NA,Home,NA,14243,NA,Issaquah,NA,NA,NA,CA,United States,NA,826212Vi46756,9057,NA,17686,7/9/2014,TRUE,Nathaniel,1.7988,Sanders,21.98,21.98,FALSE,NA,Yes,6/27/2014,1,5208,98027,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121051,75016,SO75016,NA,7/4/2014,1,14243,NA,1,8.2205,Washington,NA,5,NA,NA,NA,71.95,5.756,Canada,6,79.5048,21.98,0
267,10-4030-017686,1911 Pinecrest Dr.,NA,NA,NA,Home,NA,14243,NA,Issaquah,NA,NA,NA,CA,United States,NA,826212Vi46756,9057,NA,17686,7/9/2014,TRUE,Nathaniel,1.7988,Sanders,9.99,9.99,FALSE,NA,Yes,6/27/2014,1,5208,98027,NA,Mountain Bottle Cage,Accessories,4,871,M,112,BC-M005,Bottles and Cages,28,NA,North America,8,121052,75016,SO75016,NA,7/4/2014,1,14243,NA,1,3.7363,Washington,NA,5,NA,NA,NA,71.95,5.756,Canada,6,79.5048,9.99,0
268,10-4030-014397,4654 Trembath Court,NA,NA,NA,Home,NA,18412,NA,Marysville,NA,NA,NA,US,United States,NA,125910Vi57728,11189,NA,14397,7/9/2014,TRUE,William,0.9995,Anderson,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,9359,98270,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121049,75015,SO75015,NA,7/4/2014,1,18412,NA,1,1.8663,Washington,NA,5,NA,NA,NA,39.98,3.1984,Northwest,1,44.1779,4.99,0
269,10-4030-014397,4654 Trembath Court,NA,NA,NA,Home,NA,18412,NA,Marysville,NA,NA,Black,US,United States,NA,125910Vi57728,11189,NA,14397,7/9/2014,TRUE,William,0.9995,Anderson,34.99,34.99,FALSE,NA,Yes,6/27/2014,1,9359,98270,NA,"Sport-100 Helmet, Black",Accessories,4,708,S,33,HL-U509,Helmets,31,NA,North America,8,121050,75015,SO75015,NA,7/4/2014,1,18412,NA,1,13.0863,Washington,NA,5,NA,NA,NA,39.98,3.1984,Northwest,1,44.1779,34.99,0
270,10-4030-025177,3382 Arrowwood Circle,NA,NA,NA,Home,NA,15635,NA,East Brisbane,NA,NA,NA,CA,Australia,NA,1225654Vi23787,4540,NA,25177,7/9/2014,TRUE,Jimmy,0.924,Ashe,4.99,4.99,FALSE,NA,Yes,6/27/2014,1,6600,4169,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121046,75014,SO75014,NA,7/4/2014,1,15635,NA,1,1.8663,Queensland,NA,5,NA,NA,NA,36.96,2.9568,Canada,6,40.8408,4.99,0
271,10-4030-025177,3382 Arrowwood Circle,NA,NA,NA,Home,NA,15635,NA,East Brisbane,NA,NA,NA,CA,Australia,NA,1225654Vi23787,4540,NA,25177,7/9/2014,TRUE,Jimmy,0.924,Ashe,21.98,21.98,FALSE,NA,Yes,6/27/2014,1,6600,4169,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121047,75014,SO75014,NA,7/4/2014,1,15635,NA,1,8.2205,Queensland,NA,5,NA,NA,NA,36.96,2.9568,Canada,6,40.8408,21.98,0
